Autostart, Autoinicio
Auto Start Server after 10 Seconds:, Auto Iniciar el servior despues de 10 segundos:
Additional Args? (arguments to add after the memory arguments of server command), Argumentos Adicionales? (argumentos a añadir despues de los argumentos de memoria en el comando del servidor)
Arguments after memory arguments, Argumentos posteriores a los argumentos de memoria
After Arguments, Argumentos Posteriores
Additional Args? (arguments to add at the end of server command), Argumentos adicionales? (argumentos a añadir al final del comando del Servidor)
Auto Start Server On Program Launch?, Auto Iniciar el Servidor al Lanzar Crafty?
Auto Start Delay In Seconds, Retraso del Auto Inicio En Segundos
Auto Start Priority, Prioridad de Auto Inicio
Add User, Añadir Usuario
A secure password is actually a phrase, Una contraseña segura es en realidad una frase
All rights reserved., Todos los derechos reservados.
Auto Start Details, Detalles de Auto Inicio
Auto Start On:, Auto Inicio Activado:
Auto Start Delay:, Retraso de Auto inicio:
Auto Start Priority:, Prioridad de Auto Inicio:
Auto Start Server after 10 Seconds, Auto Iniciar el Servidor Despues de 10 Segundos
An empty value means "every". For instance: Backup every 1 hour, Un valor vacio significa "cada". Por ejemplo: Haz una Copia de seguridad cada hora
A scheduled task, Una tarea programada
Action, Acción
Autostart Delay, Retraso de Autoinicio
Actions, Acciones
available, disponibles
and kept for, y mantenidos durante
API Access, Acceso API
Are you sure you wish to delete user:, Estás seguro que deseas eleminir al usuario:
Admin, Administrador
Backup, Copia de Seguridad
Branch, Rama
Because the NSA won't send their copy, Porque la NSA no nos pasará su copia
Backups for Server ID:, Copias de Seguridad para Servidor ID:
Backup Server Now, Hacer Copia de Seguridad Ahora
Backup Worlds, Haz Copia de Seguridad de los Mundos
Backup every, Haz una copia de Seguridad Cada
Be careful here., Ten cuidado aquí.
Crafty Controller - Login, Controlador Crafty - Inicio
Crafty Controller Login, Inicio de Controlador Crafty
Change Password, Cambiar Contraseña
Check For Updates, Buscar Actualizaciones
Create New Server, Crear Nuevo Servidor
Crafty Controller Version:, Versión del Controlador Crafty:
Configure Your Server, Configura Tu Servidor
Change Role, Cambiar rol
Change is good, El cambio es bueno
Click here to download the latest update, Clica aquí para descargar la última actualización
Current, Actual
Change Your Password, Cambia Tu Contraseña
Change Password For:, Cambiar la contraseña para:
Creepers hate me so much, Los Creepers me odian mucho
Crafty will try to connect to, Crafty se intentará conectar a
Check your history interval config, Comprueva tu configuración de intervalo de historial
Current Players, Jugadores Actuales
Change Backup Config, Cambiar Configuración de Copia de Seguridad
Click On The Log Below To Scroll To Bottom, Haz Click en el Registro de Debajo Para Bajar al Final del Texto
Cancel, Cancelar
Comment, Comentario
Click thumb to toggle, Haz Click para cambiar
Current Directory:, Directorio Actual:
Dashboard, Cuadro de Mando
Documentation, Documentación
Details, Detalles
Disabled, Deshabilitado
Default is 25565 - this is the port crafty will use to get server stats. This should match your server.properties file, Por Defecto es 25565 - Este es el puerto que Crafty utilizará para conseguir las estadisticas del servidor. Esto deberia ser igual que el archivo server.properties
Default is 127.0.0.1 - this is the ip crafty will use to get server stats. This should match your server.properties file, Por defecto es 127.0.0.1 - Esta es la IP que crafty utilizará para conseguir las estadisticas del servidor. Esto deberia ser igual que el archivo server.properties
Delete Server, Borrar Servidor
Default of 8000 - 443 and 80 require root on linux, Por defecto es 8000 - 443 y 80 requiere de raiz en linux
Default of 2121 - 21 and 20 require root on linux, Por defecto es 2121 - 21 y 20 requieres de raiz en linux
Delete, Borrar
Days, Días
days, días
Download, Descargar
Down, Apagado
