Autostart, Autodémarrage
Auto Start Server after 10 Seconds:, Autodémarrage du serveur dans 10 secondes :
Additional Args? (arguments to add after the memory arguments of server command), Arguments Supplémentaires ? (Arguments à ajouter après les arguments de mémoire de lancement du serveur)
Arguments after memory arguments, Arguments après les arguments mémoire
After Arguments, Arguments Suivants
Additional Args? (arguments to add at the end of server command), Arguments Supplémentaires ? (Arguments à ajouter après la commande de lancement du serveur)
Auto Start Server On Program Launch?, Démarrer automatiquement le server au démarrage ?
Auto Start Delay In Seconds, Délai en secondes avant le démarrage automatique
Auto Start Priority, Priorité à l'Autodémarrage
Add User, Ajouter un utilisateur
A secure password is actually a phrase, Un mot de passe sécurisé est en fait une phrase
All rights reserved., Tous droits réservés.
Auto Start Details, Détails de l'autodémarrage
Auto Start On:, Autodémarrage activé :
Auto Start Delay:, Délai avant l'autodémarrage :
Auto Start Priority:, Priorité à l'autodémarrage :
Auto Start Server after 10 Seconds, Autodémarrage du serveur dans 10 secondes
An empty value means "every". For instance: Backup every 1 hour, Une valeur vide signifie "tous". Par exemple: Une copie de sauvegarde toutes les heures
A scheduled task, Une tâche programmée
Action, Action
Autostart Delay, Délai avant autodémarrage
Actions, Actions
available, disponibles
and kept for, et conserver pendant
API Access, Accès API
Are you sure you wish to delete user:, Etes vous sur de vouloir supprimer l'utilisateur :
Admin, Administrateur
Backup, Copie de sauvegarde
Branch, Branche
Because the NSA won't send their copy, Parce que la NSA n'enverront pas la leur
Backups for Server ID:, Copie de sauvegarde pour le serveur avec l'ID :
Backup Server Now, Sauvegarder le serveur maintenant
Backup Worlds, Sauvegarder les mondes
Backup every, Sauvegarder tous les 
Be careful here., Fais attention ici.
Crafty Controller - Login, Crafty Controller - Login
Crafty Controller Login, Crafty Controller Login
Change Password, Changer le mot de passe
Check For Updates, Vérifier les mises à jour
Create New Server, Créer un nouveau serveur
Crafty Controller Version:, Version de Crafty Controller:
Configure Your Server, Configurer ton serveur
Change Role, Changer le rôle
Change is good, Le changement c'est bien
Click here to download the latest update, Cliquer ici pour télécharger la dernière mise à jour
Current, Actuel
Change Your Password, Change ton mot de passe
Change Password For:, Changer le mot de passe pour :
Creepers hate me so much, Les Creepers me détestent trop
Crafty will try to connect to, Crafty va tenter de se connecter à
Check your history interval config, Vérifie la configuration de l'intervale de l'historique
Current Players, Joueurs actuels
Change Backup Config, Changer la configuration de sauvegarde
Click On The Log Below To Scroll To Bottom, Clicke dans la fenêtre ci dessous pour aller en bas de la console
Cancel, Annuler
Comment, Commentaire
Click thumb to toggle, Clicker sur le pouce pour basculer
Current Directory:, Dossier actuel :
Dashboard, Tableau de Bord
Documentation, Documentation
Details, Détails
Disabled, Désactivé
Default is 25565 - this is the port crafty will use to get server stats. This should match your server.properties file, Par défaut 25565 - C'est le port que Crafty utilisera pour obtenir les infotrmations du serveur. Il doit correspondre à celui dans le fichier server.properties
