Autostart, Avvio automatico
Auto Start Server after 10 Seconds:, Avvio automatico dopo 10 secondi:
Additional Args? (arguments to add after the memory arguments of server command), Argomenti aggiuntivi? (Argomenti da aggiungere dopo gli argomenti della memoria del comando server )
Arguments after memory arguments, Argomenti dopo gli argomenti della memoria
After Arguments, Dopo gli argomenti
Additional Args? (arguments to add at the end of server command), Argomenti aggiuntivi?  (Argomenti da aggiungere alla fine del comando server)
Auto Start Server On Program Launch?, Avviare automaticamente il server all'avvio del programma?
Auto Start Delay In Seconds, Ritardo dell'avvio automatico in secondi
Auto Start Priority, Priorità avvio automatico
Add User, Aggiungi utente
A secure password is actually a phrase, Una password sicura è in realtà una frase
All rights reserved., Tutti i diritti sono riservati.
Auto Start Details, Dettagli avvio automatico
Auto Start On:, Avvio automatico in:
Auto Start Delay:, Ritardo avvio automatico:
Auto Start Priority:, Priorità avvio automatico:
Auto Start Server after 10 Seconds, Avvio automatico del server dopo 10 secondi
An empty value means "every". For instance: Backup every 1 hour, Il valore vuoto significa "ogni". Per esempio: Backup ogni 1 ora
A scheduled task, Lavoro programmato
Action, Azione
Autostart Delay, Ritardo Avvio Automatico
Actions, Azioni
available, disponibile
and kept for, e salvati per
API Access, Accesso API
Are you sure you wish to delete user:, Sei sicure che vuoi calcellare l'utente:
Backup, Backup
Branch, Branch
Because the NSA won't send their copy, Perchè l'NSA non ti invierà la loro copia
Backups for Server ID:, Bakup del Server con ID:
Backup Server Now, Fai il Backup ora
Backup Worlds, Backup dei mondi
Backup every, Backup ogni
Be careful here., Qui devi fare cautela.
Crafty Controller - Login, Crafty Controller - Login
Controller Login, Login Controller
Change Password, Modifica Password
Check For Updates, Verifica Aggiornamenti
Create New Server, Crea un nuovo server
Crafty Controller Version:, Versione Controller Crafty:
Configure Your Server, Configura il tuo Server
Change Role, Modifica Ruolo
Change is good, Il cambiamento è positivo
Click here to download the latest update, Clicca qui per scaricare l'ultimo aggiornamento
Current, Corrente
Change Your Password, Modifica la tua Password
Change Password For:, Modifica la password per:
Creepers hate me so much, Creepers hate me so much
Crafty will try to connect to, Crafty proverà a connettersi a
Check your history interval config, Controlla la configurazione dell'intervallo dello storico
Current Players, Player correnti
Change Backup Config, Modifica configurazione del backup
Click On The Log Below To Scroll To Bottom, Fare clic sul Log in basso per scorrere verso il basso
Cancel, Annulla
Comment, Commento
Click thumb to toggle, Fare clic con il pollice per attivare / disattivare
Current Directory:, Directory Corrente:
Dashboard, Dashboard
Documentation, Documentazione
Details, Dettagli
Disabled, Disabilitato
Default is 25565 - this is the port crafty will use to get server stats. This should match your server.properties file, Il valore predefinito è 25565 - questa è la porta che Crafty utilizzerà per ottenere le statistiche del server. Questo dovrebbe corrispondere al tuo file server.properties
Default is 127.0.0.1 - this is the ip crafty will use to get server stats. This should match your server.properties file, Il valore predefinito è 127.0.0.1 - questo è l'IP che Crafty utilizzerà per ottenere le statistiche del server. Questo dovrebbe corrispondere al tuo file server.properties
Delete Server, Elimina Server
Default of 8000 - 443 and 80 require root on linux, Il valore predefinito è 8000 - 443 e 80 richiedono l'accesso root su Linux
Default of 2121 - 21 and 20 require root on linux, Il valore predefinito è 2121 - 21 e 20 richiedono l'accesso root su Linux
Delete, Elimina
Days, Giorni
days, giorni
Download, Scarica
Down, Giù
Extra Arguments, Argomenti Aggiuntivi
Example: , Esempio:
Enabled, Abilitato
entries, entità
Example: 2048, Esempio: 2048
Example: 1014, Esempio: 1014
Example /var/opt/minecraft/server, Esempio: /var/opt/minecraft/server
Example paper.jar, Esempio: paper.jar
Example Survival Server, Esempio: Server Survival
Enter you server command, Digita il tuo comando server
Existing Backups, Backup esistenti
Enter Your Search String, Digita la parola da scercare
Enter your server command, Digita il tuo comando server
Example: 2048 - Currently, Esempio: 2048 - Attualmente
Example: 1024 - Currently, Esempio: 2048 - Attualmente
Example c:\minecraft\server, Esempio: C:\minecraft\server
Enter the New Users Username, Digita il nome per il nuovo utente
Enter the New Password for, Digita la nuova passowrd per
Files, I File
FTP User, Utente FTP
FTP Password, Password FTP
FTP Port, Porta FTP
False, Falso
Friday, Venerdì
File Management, Gestione File
File, File
FTP Server Control: Server is currently, Controllo server FTP: il server è attualmente
Getting Version Data, Sto ottenendo i dati sulla versione
Host CPU, Host CPU
Host RAM, Host RAM
Host Root Disk, Host Disco
HOST TOTAL CPU USAGE, UTILIZZO TOTALE CPU HOST
HOST TOTAL RAM USAGE, UTILIZZO TOTALE RAM HOST
HOST TOTAL DISK USAGE, UTILIZZO TOTALE DISCO HOST
Home, Home
Has no effect if auto start is turned off (Example: 10), Non ha alcun effetto se l'avvio automatico è disattivato (Esempio: 10)
https://example.com/latest/server.jar, https://example.com/latest/server.jar
Highest Priority, Massima Priorità
Historical Data Capture Interval, Intervallo di acquisizione dati storici
How many minutes between historical data capture, Quanti minuti tra ogni cattura dello storico
Historical Data Length, Dimensione dello storico
How many days should we keep historical data, Per quanti gioni tenere lo storico
Historical Data will be captured every, I dati dello storico vengono acquisiti ogni
Historical Data, Dati Storico
How Often, Quanto spesso
Hours, Ore
installed, installato
I want crafty to automatically restart the server, Io voglio che Crafty automaticamente riavvia il server
I demand to see the things!, Chiedo di vedere le cose!
Invalid Settings Detected: Server Path Does Not Exists, Rilevate impostazioni non valide: il percorso del server non esiste
Invalid Settings Detected:, Rilevate impostazioni non valide
I don't know... Have you checked the logs?, Non lo so ... Hai controllato i log?
Issue Command, Invia comando
Interval Type, Tipo di intervallo
It's like a bot, È come un robot
Join The Discord, Aggiungici a Discord
Jar Update URL, URL aggionamento Jar
Keys to a good password, Il segreto per una buona password
Lowest Priority, Bassa Priorità
Logs for Server:, I Log del server:
Logs, Log
Latest Errors, Ultimi Errori
Latest Warnings, Ultimi Avvertimenti
Line, Linea
Memory, Memoria
MAIN NAVIGATION, Navigazione Principale
Medium Priority, Media Priorità
minutes, minuti
Minecraft Server Config, Configurazione Server Minecraft
Maximum Memory To Use in MB? (example: 2048), Memoria massima da utilizzare in MB? (esempio: 2048)
Minimum Memory To Use in MB? (example: 1024), Memoria minima da utilizzare in MB? (esempio: 1024)
My New Server, Il Mio Nuovo Server
Missing Data below?, Mancano dei dati?
Minutes, Minuti
Monday, Luned“
Max Memory, Memoria Massima
Min Memory, Memoria Minima
MyFirstServer, IlMioPrimoServer
Mod, Moderatore
No - I will start the server myself., No - Voglio avviare il server da me.
No effect if auto start is not enabled, Nessun effetto se l'avvio automatico non è abilitato
No - I will start the server myself if it crashes., No - Voglio avviare il server da me se crasha.
Note the Admin can not be deleted or changed, Nota che l'utente Admin non pu˜ essere moficato o cancellato
Next, Prossimo
Not Started, Non Avviato
NOT, NON
No update jar URL specified., Nessun URL per l'aggiornamento jar specificato.
No Players Online, Nessun Player Online
Note: this page doesn't auto-refresh, Nota: questa pagina non si aggiorna automaticamente
No data available in table, Nessun dato disponibile nella tabella
Next, Prossimo
New Scheduled Action, Nuova azione programmata
on port, sulla porta
only better, ma migliore
Password, Password
Players, Players
Players:, Players:
Pre Arguments, Parametri Precedenti
Previous, Indietro
Please add in, Perfavore aggiungi la 
Path, Percorso
Password:, Password:
Port:, Porta:
Permissions, Permessi:
Page Cannot Be Displayed, La pagina non pu˜ essere visualizzata
Running, In Esecuzione
Reload MC Settings, Ricarica le Impostazioni MC
Reload Web Server, Ricarica il Server Web
Revert Jar Update, Ripristina Aggiornamento Jar
Restart Server, Riavvia il Server
Role, Ruolo
Role:, Ruolo:
Sign In, Accedi
Sign in to manage your server, Accedi per gestire il tuo server
Server Status, Stato Server
Server Down, Server Down
Server, Server
Server Defined, Server definiti
Status, Stato
Stopped, Fermato
Server Start Time, Tempo di avvio del Server
Server Type, Tipo Server
Server Description, Descrizione Server
Server IP : Server Port, IP Server : Porta Server
Server IP, IP Server
Server Port, Porta Server
Server Configuration, Configurazione Server
Server Config, Configurazione Server
server config, Configurazione Server
Server Name, Nome Server
Server Path, Percorso Server
Server Jar, Jar Server
Server Max Memory, Memoria Massima Server
Server Max Memory in MB, Memoria Massima Server in MB
Server Min Memory, Memoria Minima Server
Server Min Memory in MB, Memoria Minima Server in MB
Server Jar Update URL - This is where you define where to update the jar from., URL di aggiornamento Jar del server - Quì definisci da dove aggiornare il jar.
Save, Salva
Show, Mostra
Set Password, Imposta Password
Search:, Cerca:
set to autostart, è impostato in avvio automatico
Server Data, Dati del server
Server Actions, Azioni Server
Start New World, Inizia un nuovo mondo
Server Details, Dettagli del Server
Server Control, Controllo Server
Sometimes you just need a terminal, A volte basta solo un terminale
Stop Auto-Scrolling, Disattiva scorrimento automatico
Send Command, Invia Comando
Server Backups, Backup Server
Server Backup, Backup Server
Show, Mostra
Size, Dimensione
Search Latest.log, Cerca in Latest.log
Scheduled Tasks, Attività pianificate
Select Your Action, Seleziona la tua azione
Start Server, Avvia il server
Stop Server, Ferma il server
Saturday, Sabato
Sunday, Domenica
Scheduled Actions, Azioni programmate
Start FTP Server, Avvia il server FTP
Stop FTP Server, Ferma il server FTP
Server Jar Here, Jar del server qui
Server Path Here, Percorso del server qui
Save and Finish, Salva e Finisci
Server Console, Console Server
Server Logs, Log Server
Server Schedule, Pianificazione del server
Sign out, Logout
Select the new role for, Scegli il nuovo ruolo per
Staff, Staff
Tasks, Azioni
Turn On Crash Detection?, Attivare l'individuazione dei crash?
This will detect server crashes and restart them, Questo riavvia il il server nel caso crashi
The server will be launched using this string:, Il server verrà avviato con questo comando:
The server is, Il server è
This can should be unique to the FTP service, Questo può essere unico per il servizio FTP
This should be at least 8 letters long - maybe 15 characters, Dovrebbe essere lunga almeno 8 lettere - forse 15 caratteri
Type your new password, Digita la tua nuova password
