Autostart, Automatisch Starten
Auto Start Server after 10 Seconds:, Start Server Automatisch na 10 Seconden:
Additional Args? (arguments to add after the memory arguments of server command), Bijkomende Argumenten? (argumenten toe te voegen na de  geheugenargumenten van de server)
Arguments after memory arguments, Argumenten na geheugenargumenten
After Arguments, Na Argumenten
Additional Args? (arguments to add at the end of server command), Argumenten Toe Te Voegen? (argumenten toe te voegen aan het einde van de serveropdracht)
Auto Start Server On Program Launch?, Server Automatisch Starten Bij Starten Van Programma?
Auto Start Delay In Seconds, Vertraging Automatisch Starten In Seconden
Auto Start Priority, Prioriteit Automatisch Starten 
Add User, Gebruiker Toevoegen
A secure password is actually a phrase, Een veilig wachtwoord is eigenlijk een zin
All rights reserved., Alle rechten voorbehouden.
Auto Start Details, Details Automatisch Starten
Auto Start On:, Automatisch Starten Aan:
Auto Start Delay:, Vertraging Automatisch Starten:
Auto Start Priority:, Prioriteit Automatisch Starten
Auto Start Server after 10 Seconds, Start Server Automatisch na 10 seconden
"An empty value means ""every"". For instance: Backup every 1 hour, Een lege waarde betekent ""ieder"". Bijvoorbeeld: Neem ieder 1 uur een back-up"
A scheduled task, Een geplande taak
Action, Actie
Autostart Delay, Vertraging Automatisch Starten
Actions, Acties
available, beschikbaar
and kept for, en bewaard voor
API Access, API toegang
Are you sure you wish to delete user:, Ben je zeker dat je deze gebruiker wilt verwijderen:
Backup, Back-up
Branch, Afdeling
Because the NSA won't send their copy, Omdat de NSA hun kopie niet zal sturen
Backups for Server ID:, Back-ups voor Server ID:
Backup Server Now, Back-up Server Nu
Backup Worlds, Back-up Werelden
Backup every, Back-up ieder
Be careful here., Wees hier voorzichtig
Crafty Controller - Login, Crafty Controller - Login
Controller Login, Controller Login
Change Password, Wijzig Wachtwoord
Check For Updates, Controleer Op Updates
Create New Server, Maak Nieuwe Server
Crafty Controller Version:, Crafty Controller Versie:
Configure Your Server, Configureer Uw Server
Change Role, Wijzig Functie
Change is good, Verandering is goed
Click here to download the latest update, Klik hier om te laatste update te installeren
Current, Huidige
Change Your Password, Wijzig Uw Wachtwoord
Change Password For:, Wijzig Wachtwoord Voor:
