Autostart, Autopornire
Auto Start Server after 10 Seconds:, Porneste automat serverul dupa 10 secunde:
Additional Args? (arguments to add after the memory arguments of server command), Argumente speciale? (argumente care sa fie adaugate in comanda de pornire a serverului dupa cele de memorie)
Arguments after memory arguments, Argumente care sa fie adaugate dupa cele de memorie
After Arguments, Dupa Argumente
Additional Args? (arguments to add at the end of server command), Argumente speciale? (argumente care sa fie adaugate la finalul comenzii de pornire)
Auto Start Server On Program Launch?, Porneste automat serverul odata cu programul?
Auto Start Delay In Seconds, Delay pentru autopornire (in secunde)
Auto Start Priority, Prioritate Autopornire
Add User, Adauga Utilizator
A secure password is actually a phrase, O parola buna poate fi chiar o propozitie
All rights reserved., Toate drepturile rezervate.
Auto Start Details, Detalii Autopornire
Auto Start On:, Autopornire Pe:
Auto Start Delay:, Delay Autopornire:
Auto Start Priority:, Prioritate Autopornire:
Auto Start Server after 10 Seconds, Porneste automat serverul dupa 10 secunde
"An empty value means ""every"". For instance: Backup every 1 hour", "O valoare goala poate fi ""fiecare"". De exemplu: Backup fiecare 1 ora."
A scheduled task, O actiune programata
Action, Actiune
Autostart Delay, Delay Autopornire
Actions, Actiuni
available, disponibil
and kept for, sunt tinute pentru
API Access, Acces API
Are you sure you wish to delete user:, Esti sigur ca vrei sa stergi utilizatorul:
Backup, Backup
Branch, Ramura
Because the NSA won't send their copy, Pentru ca NSA nu-si vor trimite copia lor
Backups for Server ID:, Backupuri pentru Serverul cu ID:
Backup Server Now, Fa backup la server acum
Backup Worlds, Fa backup la lumi
Backup every, Fa backup la fiecare
Be careful here., Ai grija aici.
Crafty Controller - Login, Crafty Controller - Login
Controller Login, Login Controller
Change Password, Schimba Parola
Check For Updates, Cauta Update-uri
Create New Server, Creeaza un server nou
Crafty Controller Version:, Crafty Controller Versiunea: 
Configure Your Server, Configureaza-ti Serverul
Change Role, Schimba Rolul
Change is good, Schimbarea este buna
Click here to download the latest update, Da click aici pentru a descarca cel mai nou update
Current, Curent
Change Your Password, Schimba-ti Parola
Change Password For:, Schimba Parola Pentru:
Creepers hate me so much, Creeperii ma urasc asa de mult
Crafty will try to connect to, Crafty va incerca sa se conecteze la
Check your history interval config, Verifica istoricul intervalului configului
Current Players, Jucatori Conectati
Change Backup Config, Schimba configul de backup
Click On The Log Below To Scroll To Bottom, Click pe log pentru a da scroll pana jos
Cancel, Anuleaza
Comment, Comentariu
Click thumb to toggle, Click pentru a porni sau opri
Current Directory:, Folderul Curent:
Dashboard, Panou
Documentation, Documentatie
Details, Detalii
Disabled, Dezactivat
Default is 25565 - this is the port crafty will use to get server stats. This should match your server.properties file, Defaultul este 25565 - acesta este portul pe care Crafty il va folosi pentru a lua statisticile serverului. Trebuie sa fie acelasi ca cel din fisierul server.properties
Default is 127.0.0.1 - this is the ip crafty will use to get server stats. This should match your server.properties file, Defaultul este 127.0.0.1 - acesta este IP-ul pe care crafty il va folosi pentru a lua statisticile serverului. Trebuie sa fie acelasi ca cel din fisierul server.properties
Delete Server, Sterge Serverul
Default of 8000 - 443 and 80 require root on linux, Defaultul este 8000 - 443 si 80 au nevoie de root pe Linux
Default of 2121 - 21 and 20 require root on linux, Defaultul este 2121 - 21 si 20 au nevoie de root pe Linux
Delete, Sterge
Days, Zile
days, zile
Download, Descarca
Down, Jos
Extra Arguments, Argumente Extra
Example: , Exemplu: 
Enabled, Activat
entries, intrari
Example: 2048, Exemplu: 2048
Example: 1014, Exemplu: 1014
Example /var/opt/minecraft/server, Exemplu: /var/opt/minecraft/server
Example paper.jar, Exemplu paper.jar
Example Survival Server, Exemplu Server Survival
Enter you server command, Scrie comanda pentru server
Existing Backups, Backupuri Existente
Enter Your Search String, Scrie ce vrei sa cauti
Enter your server command, Scrie comanda de server
Example: 2048 - Currently, Exemplu: 2048 - Momentan
Example: 1024 - Currently, Exemplu: 1024 - Momentan
Example c:\minecraft\server, Exemplu: C:\minecraft\server
Enter the New Users Username, Scrie numele noului utilizator
Enter the New Password for, Scrie noua parola pentru
Files, Fisiere
FTP User, Utilizator FTP
FTP Password, Parola FTP
FTP Port, Port FTP
False, Fals
Friday, Vineri
File Management, Management Fisiere
File, Fisier
