Autostart, Автозапуск
Auto Start Server after 10 Seconds:, Автозапуск сервера через 10 секунд:
Additional Args? (arguments to add after the memory arguments of server command), Дополнительные аргументы? (аргументы для добавления после аргументов памяти в команде сервера)
Arguments after memory arguments, Аргументы после аргументов памяти
After Arguments, После аргументов
Additional Args? (arguments to add at the end of server command), Дополнительные аргументы? (аргументы для добавления в конце команд сервера)
Auto Start Server On Program Launch?, Запускать сервер автоматически после запуска программы?
Auto Start Delay In Seconds, Задержка автозапуска в секундах
Auto Start Priority, Приоритет автозапуска
Add User, Добавить пользователя
A secure password is actually a phrase, Надёжный пароль - это на самом деле фраза
All rights reserved., Все права защищены.
Auto Start Details, Детали автозапуска
Auto Start On:, Автозапуск включен:
Auto Start Delay:, Задержка автозапуска:
Auto Start Priority:, Приоритет автозапуска:
Auto Start Server after 10 Seconds, Автозапуск сервера через 10 секунд
An empty value means "every". For instance: Backup every 1 hour, Пустое значение означает «каждый». Например: резервное копирование каждый час.
A scheduled task, Запланированная задача
Action, Действие
Autostart Delay, Задержка автозапуска
Actions, Действия
available, доступно
and kept for, и сохранен для
API Access, API доступ
Are you sure you wish to delete user:, Вы уверены что хотите удалить пользователя:
Admin, Админ
Backup, Резервное копирование
Branch, Ветка
Because the NSA won't send their copy, Потому что NSA не пошлёт свою копию
Backups for Server ID:, Резервные копии для ID сервера:
Backup Server Now, Сделать резервную копию сервера
Backup Worlds, Сделать резервную копию Worlds
Backup every, Сделать резервную копию всего
Be careful here., Будьте осторожны здесь.
Crafty Controller - Login, Контроллер Crafty - Вход
Crafty Controller Login, Вход в Контроллер Crafty
Change Password, Сменить пароль
Check For Updates, Проверить наличие обновлений
Create New Server, Создать новый сервер
Crafty Controller Version:, Версия Контроллера Crafty:
Configure Your Server, Настройте свой сервер
Change Role, Изменить роль
Change is good, Перемены это хорошо
Click here to download the latest update, Нажмите здесь чтобы скачать последнее обновление
Current, Текущая
Change Your Password, Изменить пароль
